  Interval Start      P(x) Start    Interval End        P(x) End        Midpoint     P(Midpoint)Iteration#
      -19.000000   -3.404000e+04       21.000000    2.924000e+04        1.000000    0.000000e+00         1




  Interval Start      P(x) Start    Interval End        P(x) End        Midpoint     P(Midpoint)Iteration#
      -17.000000   -2.494800e+04       23.000000    3.929200e+04        3.000000   -2.800000e+01         1
        3.000000   -2.800000e+01       23.000000    3.929200e+04       13.000000    5.832000e+03         2
        3.000000   -2.800000e+01       13.000000    5.832000e+03        8.000000    9.520000e+02         3
        3.000000   -2.800000e+01        8.000000    9.520000e+02        5.500000    1.620000e+02         4
        3.000000   -2.800000e+01        5.500000    1.620000e+02        4.250000    1.543750e+01         5
        3.000000   -2.800000e+01        4.250000    1.543750e+01        3.625000   -1.624219e+01         6
        3.625000   -1.624219e+01        4.250000    1.543750e+01        3.937500   -3.258789e+00         7
        3.937500   -3.258789e+00        4.250000    1.543750e+01        4.093750    5.329468e+00         8
        3.937500   -3.258789e+00        4.093750    5.329468e+00        4.015625    8.510895e-01         9
        3.937500   -3.258789e+00        4.015625    8.510895e-01        3.976563   -1.249197e+00        10
        3.976563   -1.249197e+00        4.015625    8.510895e-01        3.996094   -2.104800e-01        11
        3.996094   -2.104800e-01        4.015625    8.510895e-01        4.005859    3.174370e-01        12
        3.996094   -2.104800e-01        4.005859    3.174370e-01        4.000977    5.276299e-02        13
        3.996094   -2.104800e-01        4.000977    5.276299e-02        3.998535   -7.903720e-02        14
        3.998535   -7.903720e-02        4.000977    5.276299e-02        3.999756   -1.318181e-02        15
        3.999756   -1.318181e-02        4.000977    5.276299e-02        4.000366    1.977941e-02        16
        3.999756   -1.318181e-02        4.000366    1.977941e-02        4.000061    3.296010e-03        17
        3.999756   -1.318181e-02        4.000061    3.296010e-03        3.999908   -4.943596e-03        18
        3.999908   -4.943596e-03        4.000061    3.296010e-03        3.999985   -8.239676e-04        19
        3.999985   -8.239676e-04        4.000061    3.296010e-03        4.000023    1.235978e-03        20
        3.999985   -8.239676e-04        4.000023    1.235978e-03        4.000004    2.059941e-04        21
        3.999985   -8.239676e-04        4.000004    2.059941e-04        3.999994   -3.089895e-04        22
        3.999994   -3.089895e-04        4.000004    2.059941e-04        3.999999   -5.149839e-05        23
        3.999999   -5.149839e-05        4.000004    2.059941e-04        4.000001    7.724768e-05        24
        3.999999   -5.149839e-05        4.000001    7.724768e-05        4.000000    1.287460e-05        25
        3.999999   -5.149839e-05        4.000000    1.287460e-05        4.000000   -1.931190e-05        26
        4.000000   -1.931190e-05        4.000000    1.287460e-05        4.000000   -3.218651e-06        27




  Interval Start      P(x) Start    Interval End        P(x) End        Midpoint     P(Midpoint)Iteration#
      -15.000000   -1.763200e+04       25.000000    5.140800e+04        5.000000    8.800000e+01         1
      -15.000000   -1.763200e+04        5.000000    8.800000e+01       -5.000000   -9.720000e+02         2
       -5.000000   -9.720000e+02        5.000000    8.800000e+01        0.000000    8.000000e+00         3
       -5.000000   -9.720000e+02        0.000000    8.000000e+00       -2.500000   -1.820000e+02         4
       -2.500000   -1.820000e+02        0.000000    8.000000e+00       -1.250000   -3.543750e+01         5
       -1.250000   -3.543750e+01        0.000000    8.000000e+00       -0.625000   -3.757813e+00         6
       -0.625000   -3.757813e+00        0.000000    8.000000e+00       -0.312500    4.245117e+00         7
       -0.625000   -3.757813e+00       -0.312500    4.245117e+00       -0.468750    8.204346e-01         8
       -0.625000   -3.757813e+00       -0.468750    8.204346e-01       -0.546875   -1.318771e+00         9
       -0.546875   -1.318771e+00       -0.468750    8.204346e-01       -0.507813   -2.124043e-01        10
       -0.507813   -2.124043e-01       -0.468750    8.204346e-01       -0.488281    3.131168e-01        11
       -0.507813   -2.124043e-01       -0.488281    3.131168e-01       -0.498047    5.264285e-02        12
       -0.507813   -2.124043e-01       -0.498047    5.264285e-02       -0.502930   -7.930766e-02        13
       -0.502930   -7.930766e-02       -0.498047    5.264285e-02       -0.500488   -1.318932e-02        14
       -0.500488   -1.318932e-02       -0.498047    5.264285e-02       -0.499268    1.976252e-02        15
       -0.500488   -1.318932e-02       -0.499268    1.976252e-02       -0.499878    3.295541e-03        16
       -0.500488   -1.318932e-02       -0.499878    3.295541e-03       -0.500183   -4.944652e-03        17
       -0.500183   -4.944652e-03       -0.499878    3.295541e-03       -0.500031   -8.239970e-04        18
       -0.500031   -8.239970e-04       -0.499878    3.295541e-03       -0.499954    1.235912e-03        19
       -0.500031   -8.239970e-04       -0.499954    1.235912e-03       -0.499992    2.059923e-04        20
       -0.500031   -8.239970e-04       -0.499992    2.059923e-04       -0.500011   -3.089936e-04        21
       -0.500011   -3.089936e-04       -0.499992    2.059923e-04       -0.500002   -5.149850e-05        22
       -0.500002   -5.149850e-05       -0.499992    2.059923e-04       -0.499997    7.724742e-05        23
       -0.500002   -5.149850e-05       -0.499997    7.724742e-05       -0.500000    1.287460e-05        24
       -0.500002   -5.149850e-05       -0.500000    1.287460e-05       -0.500001   -1.931192e-05        25
       -0.500001   -1.931192e-05       -0.500000    1.287460e-05       -0.500000   -3.218651e-06        26
       -0.500000   -3.218651e-06       -0.500000    1.287460e-05       -0.500000    4.827975e-06        27




  Interval Start      P(x) Start    Interval End        P(x) End        Midpoint     P(Midpoint)Iteration#
      -13.000000   -1.190000e+04       27.000000    6.578000e+04        7.000000    5.400000e+02         1
